Claudio Gallicchio
Salar Fattahi
Shusen Wang
Shakir Mohamed
Mohammad Mahdi Khalili
Ohad Shamir
Weiming Dong
Jamie Kiros
Gregor Gebhardt
Divyansh Kaushik
Amir-massoud Farahmand
Ting Chen
Georgios Paschos
Meelis Kull
Zachery Miranda
Calvin Seward
Jiyuan Zhang
Augustus Odena
Jakob Uszkoreit
Christian Sohler
Kirill Simonov
Amirhossein Taghvaei
Ehsan Imani
Ashton Anderson
Camille Couprie
Songyang Zhang
Ichiro Takeuchi
Yotam Doron
Tara Javidi
Stefan Bauer
Yura Malitsky
Andreas Geiger
Hanna Wallach
Stewart Wilcox
Benjamin Cowen
Yuyang Wang
Xinyang Chen
Adam Earle
Angelika Steger
Todd Millstein
Marco Fraccaro
Tomohiro Sonobe
Martin Riedmiller
Pietro Michiardi
Sadhana Kumaravel
Guanghui Wang
Andrew Lamperski
Hoda Heidari
Regina Barzilay
Liqiang Wang
Peter Frazier
Varun Kanade
Omid Keivani
Jennifer Neville
Rajhans Singh
Shengjie Wang
Zichao Long
Eric Nalisnick
Marcelo Matheus Gauy
David Krueger
Fritz Obermeyer
Tomaso Poggio
Shifeng Chen
Rhicheek Patra
Pascal Vincent
Christopher Maddison
Wojciech Kotlowski
Marc Toussaint
John Fisher
Yuwen Xiong
De-Chuan Zhan
Hossein Shokri Ghadikolaei
Razvan Pascanu
Jeffrey Regier
Benjamin Raphael
Valerii Likhosherstov
Iiris Sundin
Alberto Rodriguez
Renjie Liao
Christoph Studer
Nils Hammerla
Shariq Iqbal
Stefano Sarao Mannelli
Jason Hartford
Aaron Elmore
Caroline Uhler
Yuan Zhou
Fred Roosta
Alexander Ihler
Nathan Kallus
Pedro Mercado
Heinz Koeppl
Daniel Kunin
Lisa Zhang
Aslan Tchamkerten
Robin Vogel
Daniel Greenfeld
Elvis Dohmatob
Romain Cosentino
Carlo Fischione
Daniel Sheldon
Arthur Choi
Tianxiao Shen
Liang Zhao
Johan Ugander
Johanni Brea
Ilias Zadik
Octavian Ganea
Taesung Park
Raia Hadsell
Konstantinos Panousis
Voot Tangkaratt
Seungjin Choi
Vijay Vasudevan
Mike Lewis
Xiao Wang
Richard Valenzano
Kagan Tumer
Sanjoy Dasgupta
Francesco Locatello
Phillip Schniter
Peter Glynn
Akshay Krishnamurthy
Giuseppe Canonaco
Samuli Laine
Christian Bock
John Schulman
Alon Cohen
Richard Socher
Esther Rolf
Pratik Jawanpuria
Yanyao Shen
Rachit Dubey
Clarice Poon
Chiyuan Zhang
Mohamed Elhoseiny
Mladen Kolar
Sima Behpour
Jeff Haochen
Ngoc Tran
Charlie Dickens
Shuai Zheng
Hideaki Imamura
Kasper Green Larsen
Mayank Agarwal
Damien Garreau
Jianfei Chen
Ahmed Alaa
David Madras
Erik Talvitie
Jeff Dean
Vaisakh Shaj
Yang Zhang
Vlad Mnih
Thrasyvoulos Spyropoulos
Jacob Whitehill
Parthasarathy Ranganathan
Reed Zhang
Kurt Keutzer
Romain Couillet
Gellert Weisz
Frank Hutter
Caiming Xiong
Laurent Oudre
Claudia Clopath
Marc Abeille
Ryohei Fujimaki
Yunhun Jang
Slim Essid
Jonathan Dodge
Olivier Sigaud
Jaime Roquero Gimenez
Mona Attariyan
Marius Miron
Mengdi Wang
Xiaoxuan Zhang
Shubhendu Trivedi
Noah Simon
Klaus Greff
Timothy Lillicrap
John Paisley
Lorenz Muller
Aaron Schein
Martin Wattenberg
Matthew Smith
Guillaume Ginolhac
Patrice Bertail
Jiechao Xiong
Marissa Weis
Olgica Milenkovic
Yingbo Zhou
Manik Dhar
Gunnar Raetsch
Timon Gehr
Manish Purohit
Adam Kalai
Tomer Koren
Sherjil Ozair
Danijar Hafner
Anirban Bhattacharya
Lotfi Slim
Feihu Huang
Corentin Tallec
Chin Pang Ho
Luca Saglietti
Sean Welleck
Charles Martin
Francisco Vargas
Alexander Lerchner
Jennifer Jang
Evren Tumer
Karl Tuyls
Kento Uchida
Berk Ustun
Eyke Hüllermeier
Andrei Giurgiu
Sebastian Nowozin
Viveck Cadambe
Sami Abu-El-Haija
Georgios Damaskinos
Nathan Srebro
Nico Goernitz
Didac Suris
Teodor Vanislavov Marinov
Gail Weiss
Adarsh Keshav Jeewajee
Luke Metz
Tianyi Zhou
Brian Ziebart
Touqir Sajed
Alex Alemi
