defendant_age,defendant_gender,num_victims,victim_genders,offence_category,offence_subcategory
not known,female,1,male,theft,theftFromPlace
not known,male,2,male;male,theft,burglary
not known,female,1,male,theft,grandLarceny
23,male,1,male,theft,pocketpicking
38,male,0,nan,royalOffences,coiningOffences
not known,male,1,male,theft,grandLarceny
not known,male,1,male,theft,pettyLarceny
not known,female,1,male,theft,shoplifting
27,male,1,female,kill,manslaughter
not known,male,2,male;male,violentTheft,highwayRobbery
not known,male,1,female,deception,fraud
54,male,0,nan,deception,fraud
not known,male,4,male;male;male;male,theft,grandLarceny
18,male,1,male,theft,simpleLarceny
not known,female,1,male,theft,pocketpicking
not known,female,0,nan,theft,other
21,male,1,male,theft,animalTheft
not known,male,0,nan,theft,embezzlement
19,male,1,male,theft,shoplifting
not known,male,0,nan,theft,grandLarceny
not known,male,1,male,theft,embezzlement
not known,male,1,male,theft,grandLarceny
51,male,1,male,theft,simpleLarceny
20,female,1,male,theft,theftFromPlace
19,male,1,male,theft,simpleLarceny
fifteen years old,female,1,male,theft,grandLarceny
not known,female,1,male,theft,other
not known,male,1,male,theft,other
not known,female,1,male,theft,grandLarceny
not known,female,2,male;male,theft,pocketpicking
not known,female,1,male,violentTheft,highwayRobbery
20,male,0,nan,theft,pocketpicking
25,male,1,male,theft,burglary
not known,male,1,male,theft,grandLarceny
not known,female,1,male,theft,grandLarceny
not known,male,1,male,theft,grandLarceny
46,male,1,female,sexual,rape
17,male,1,male,theft,pocketpicking
not known,male,1,male,theft,grandLarceny
not known,male,1,male,theft,theftFromPlace
13,male,0,nan,royalOffences,coiningOffences
not known,female,1,male,theft,grandLarceny
25,male,2,male;male,theft,stealingFromMaster
not known,male,1,male,theft,grandLarceny
not known,male,1,male,theft,simpleLarceny
not known,female,0,nan,breakingPeace,libel
not known,male,1,male,theft,pocketpicking
33,male,1,indeterminate,deception,forgery
not known,male,1,male,theft,receiving
not known,male,1,female,theft,grandLarceny
18,male,1,female,theft,simpleLarceny
not known,female,1,male,theft,pocketpicking
30,male,2,male;male,theft,grandLarceny
not known,male,0,nan,deception,fraud
47,male,1,male,theft,stealingFromMaster
not known,male,0,nan,theft,embezzlement
44,male,1,male,theft,embezzlement
13,female,2,female;female,theft,stealingFromMaster
not known,male,1,male,kill,manslaughter
not known,male,1,male,theft,theftFromPlace
59,male,1,male,theft,simpleLarceny
25,male,1,male,theft,theftFromPlace
17,male,1,male,theft,simpleLarceny
not known,male,2,female;female,sexual,bigamy
29,male,1,female,sexual,assaultWithIntent
not known,male,1,male,theft,grandLarceny
13,male,1,male,theft,stealingFromMaster
not known,female,1,male,theft,receiving
24,male,1,male,theft,stealingFromMaster
37,male,0,nan,royalOffences,coiningOffences
24,male,1,male,theft,simpleLarceny
not known,female,1,male,theft,theftFromPlace
not known,female,1,male,theft,theftFromPlace
24,male,1,female,breakingPeace,wounding
not known,male,0,nan,royalOffences,seditiousLibel
not known,male,1,male,theft,simpleLarceny
not known,female,0,nan,royalOffences,coiningOffences
not known,female,1,male,theft,simpleLarceny
not known,male,2,female;female,sexual,bigamy
not known,female,1,female,theft,grandLarceny
not known,male,1,male,theft,grandLarceny
not known,male,1,male,theft,stealingFromMaster
49,male,1,male,deception,fraud
not known,female,1,male,theft,pocketpicking
18,male,1,male,theft,shoplifting
39,male,1,male,breakingPeace,wounding
not known,male,1,male,damage,arson
37,male,1,male,theft,shoplifting
not known,male,1,male,theft,receiving
19,male,2,male;male,theft,grandLarceny
23,male,1,female,sexual,bigamy
not known,female,1,female,breakingPeace,wounding
19,male,1,male,theft,embezzlement
19,male,1,male,theft,pocketpicking
not known,male,1,male,deception,forgery
29,male,1,male,deception,fraud
32,male,0,nan,royalOffences,coiningOffences
13,male,1,male,theft,grandLarceny
23,male,1,male,breakingPeace,wounding
fourteen,female,1,male,theft,grandLarceny
not known,male,1,male,theft,stealingFromMaster
not known,female,1,male,theft,simpleLarceny
28,male,0,nan,deception,forgery
not known,female,1,male,theft,pocketpicking
24,male,2,male;male,theft,simpleLarceny
not known,male,1,male,theft,grandLarceny
not known,male,1,male,breakingPeace,wounding
not known,female,1,male,kill,pettyTreason
not known,male,1,male,theft,theftFromPlace
not known,female,1,male,theft,grandLarceny
23,male,0,nan,royalOffences,coiningOffences
not known,male,1,male,theft,stealingFromMaster
not known,male,1,male,theft,mail
not known,male,1,male,theft,grandLarceny
not known,female,1,indeterminate,theft,receiving
not known,male,1,male,theft,simpleLarceny
not known,male,1,male,kill,manslaughter
35,male,0,nan,deception,forgery
22,female,1,female,theft,simpleLarceny
60,male,0,nan,deception,forgery
27,male,2,female;female,kill,murder
not known,male,1,male,theft,theftFromPlace
not known,female,0,nan,royalOffences,coiningOffences
37,male,3,male;male;male,theft,grandLarceny
19,male,1,male,theft,pocketpicking
not known,male,1,male,deception,forgery
22,male,1,male,theft,stealingFromMaster
16,male,1,male,theft,simpleLarceny
not known,male,1,male,theft,grandLarceny
32,male,1,male,theft,simpleLarceny
58,male,0,nan,royalOffences,coiningOffences
not known,female,1,male,theft,theftFromPlace
not known,female,1,male,theft,theftFromPlace
not known,male,1,male,theft,grandLarceny
not known,female,1,male,theft,simpleLarceny
47,female,1,male,theft,stealingFromMaster
29,male,1,male,deception,fraud
22,male,1,male,theft,theftFromPlace
31,male,0,nan,sexual,bigamy
17,female,1,male,theft,simpleLarceny
30,female,1,male,theft,grandLarceny
22,male,1,male,violentTheft,highwayRobbery
36,female,1,male,theft,pocketpicking
47,male,1,male,breakingPeace,wounding
17,male,1,male,theft,burglary
not known,male,2,male;male,theft,theftFromPlace
22,female,1,male,theft,stealingFromMaster
36,male,1,male,theft,pocketpicking
twelve years of age,male,1,female,sexual,rape
not known,male,1,male,theft,simpleLarceny
not known,female,1,male,theft,theftFromPlace
not known,male,1,male,deception,perjury
not known,male,1,male,theft,theftFromPlace
24,male,1,male,theft,simpleLarceny
17,female,1,male,theft,stealingFromMaster
20,male,1,male,theft,simpleLarceny
19,female,1,male,theft,simpleLarceny
not known,female,1,male,theft,theftFromPlace
45,male,1,female,kill,murder
16,male,2,male;female,theft,pocketpicking
not known,male,0,nan,deception,forgery
20,male,1,male,theft,pocketpicking
not known,male,1,male,theft,receiving
not known,male,0,nan,sexual,rape
not known,female,1,male,theft,stealingFromMaster
not known,female,1,female,theft,pocketpicking
21,male,1,male,breakingPeace,wounding
not known,male,1,male,theft,grandLarceny
24,male,1,male,theft,simpleLarceny
not known,male,1,male,theft,burglary
31,male,0,nan,deception,forgery
not known,male,1,male,theft,grandLarceny
27,male,1,indeterminate,theft,animalTheft
not known,male,1,female,theft,animalTheft
38,female,1,male,theft,simpleLarceny
24,male,1,male,theft,stealingFromMaster
not known,male,0,nan,violentTheft,highwayRobbery
not known,male,1,male,theft,grandLarceny
24,male,0,nan,royalOffences,coiningOffences
not known,male,1,female,theft,pocketpicking
not known,male,1,male,theft,grandLarceny
not known,male,2,male;male,theft,grandLarceny
19,male,1,male,theft,pocketpicking
43,male,0,nan,deception,forgery
not known,female,1,female,theft,grandLarceny
26,male,1,male,theft,simpleLarceny
20,male,1,male,theft,grandLarceny
not known,male,1,male,theft,grandLarceny
not known,male,1,male,theft,grandLarceny
not known,male,1,male,theft,shoplifting
16,male,1,male,theft,theftFromPlace
not known,male,1,female,deception,fraud
not known,male,0,nan,theft,simpleLarceny
55,male,1,male,theft,stealingFromMaster
22,male,0,nan,theft,embezzlement
57,male,1,female,breakingPeace,wounding
not known,male,1,male,theft,pocketpicking
16,male,3,male;male;male,theft,simpleLarceny
27,male,2,female;female,sexual,bigamy
not known,male,1,male,theft,stealingFromMaster
not known,female,1,female,theft,grandLarceny
not known,male,1,male,deception,fraud
20,male,0,nan,royalOffences,coiningOffences
not known,male,0,nan,miscellaneous,returnFromTransportation
19,male,1,male,theft,burglary
not known,male,0,nan,theft,embezzlement
14,male,1,male,theft,simpleLarceny
not known,male,1,female,kill,other
not known,male,0,nan,deception,perjury
not known,male,2,male;male,theft,grandLarceny
not known,female,1,male,theft,other
not known,male,2,female;female,sexual,bigamy
33,female,1,male,breakingPeace,wounding
18,male,1,female,sexual,rape
28,male,1,male,theft,pocketpicking
16,male,1,male,theft,pocketpicking
not known,male,1,female,theft,grandLarceny
not known,male,0,nan,theft,embezzlement
not known,male,1,male,theft,grandLarceny
not known,female,1,female,theft,pocketpicking
not known,male,2,male;female,theft,grandLarceny
not known,male,1,male,theft,grandLarceny
not known,female,1,male,theft,animalTheft
not known,indeterminate,2,female;female,theft,theftFromPlace
18,male,0,nan,theft,burglary
20,male,0,nan,theft,mail
not known,male,1,male,theft,simpleLarceny
77,male,1,male,theft,housebreaking
32,male,1,female,sexual,bigamy
not known,female,1,male,theft,pocketpicking
not known,female,1,male,theft,pocketpicking
not known,male,1,male,theft,grandLarceny
not known,male,0,nan,theft,embezzlement
not known,male,1,male,kill,murder
31,male,5,male;male;male;male;male,deception,fraud
21,male,1,male,theft,simpleLarceny
not known,male,1,male,breakingPeace,other
35,male,0,nan,sexual,other
46,male,1,indeterminate,theft,mail
28,female,1,male,theft,grandLarceny
not known,male,1,male,breakingPeace,libel
20,male,1,male,theft,simpleLarceny
not known,female,1,female,theft,grandLarceny
18,male,1,male,theft,theftFromPlace
33,female,1,female,theft,theftFromPlace
16,male,0,nan,damage,other
not known,male,1,male,theft,burglary
41,male,1,male,theft,pocketpicking
not known,male,1,male,theft,simpleLarceny
not known,male,0,nan,theft,embezzlement
not known,male,1,male,theft,grandLarceny
21,male,0,nan,damage,other
18,male,1,male,theft,grandLarceny
44,male,1,male,sexual,sodomy
16,male,1,male,theft,simpleLarceny
29,male,1,female,theft,simpleLarceny
not known,male,1,male,theft,simpleLarceny
not known,female,1,male,theft,pocketpicking
not known,male,1,indeterminate,theft,grandLarceny
51,male,1,female,sexual,rape
17,male,0,nan,royalOffences,coiningOffences
not known,male,1,male,theft,grandLarceny
25,female,1,male,theft,grandLarceny
27,male,0,nan,royalOffences,coiningOffences
not known,female,1,female,theft,other
54,male,1,male,theft,embezzlement
31,female,1,female,theft,grandLarceny
17,male,1,female,theft,stealingFromMaster
18,female,1,male,theft,pocketpicking
not known,male,1,male,theft,simpleLarceny
not known,female,1,female,breakingPeace,wounding
23,male,1,male,breakingPeace,wounding
19,male,1,male,deception,forgery
not known,male,1,male,theft,simpleLarceny
60,male,0,nan,royalOffences,coiningOffences
not known,male,1,male,theft,simpleLarceny
not known,male,1,male,theft,grandLarceny
not known,female,3,male;male;male,theft,grandLarceny
14,male,0,nan,sexual,sodomy
not known,male,0,nan,deception,perjury
19,female,1,male,theft,stealingFromMaster
18,male,1,male,theft,pocketpicking
25,female,1,male,theft,grandLarceny
not known,female,1,male,theft,grandLarceny
39,male,1,male,theft,embezzlement
34,male,1,male,theft,grandLarceny
22,male,1,male,theft,simpleLarceny
25,male,1,indeterminate,theft,mail
not known,female,1,male,theft,grandLarceny
18,male,1,male,theft,grandLarceny
not known,female,1,male,theft,pocketpicking
24,female,0,nan,miscellaneous,concealingABirth
15,male,1,male,theft,simpleLarceny
not known,male,1,male,theft,simpleLarceny
not known,male,1,male,theft,burglary
not known,male,1,female,sexual,rape
not known,female,0,nan,miscellaneous,concealingABirth
79,male,1,female,sexual,indecentAssault
not known,male,1,female,violentTheft,highwayRobbery
23,male,1,female,theft,burglary
not known,male,1,male,theft,pocketpicking
19,male,1,male,theft,simpleLarceny
58,female,0,nan,royalOffences,coiningOffences
14,male,1,male,theft,stealingFromMaster
not known,male,1,male,damage,other
not known,female,1,male,theft,grandLarceny
not known,male,1,male,theft,grandLarceny
19,male,0,nan,miscellaneous,other
not known,male,6,male;male;male;male;male;male,deception,forgery
not known,male,1,male,theft,grandLarceny
not known,male,1,male,theft,simpleLarceny
24,male,0,nan,royalOffences,coiningOffences
not known,male,1,male,breakingPeace,wounding
54,male,1,female,theft,theftFromPlace
22,male,1,male,theft,grandLarceny
not known,male,1,indeterminate,theft,grandLarceny
not known,male,1,male,theft,simpleLarceny
not known,male,2,female;female,violentTheft,robbery
24,male,1,male,theft,theftFromPlace
not known,male,1,male,theft,grandLarceny
not known,male,1,male,theft,grandLarceny
22,male,1,male,theft,simpleLarceny
25,male,1,male,theft,burglary
not known,male,1,male,theft,pocketpicking
38,male,1,male,deception,fraud
21,male,1,male,theft,stealingFromMaster
22,male,2,male;male,theft,simpleLarceny
ten,female,1,male,theft,grandLarceny
19,male,0,nan,theft,embezzlement
19,male,1,female,sexual,rape
not known,female,1,male,theft,grandLarceny
not known,male,1,male,theft,burglary
37,female,1,female,breakingPeace,wounding
15,male,1,male,theft,embezzlement
26,male,0,nan,deception,forgery
not known,male,1,male,theft,grandLarceny
35,male,1,female,theft,extortion
22,male,1,female,sexual,rape
17,male,1,male,theft,simpleLarceny
38,male,1,male,theft,theftFromPlace
not known,male,1,male,theft,grandLarceny
24,male,0,nan,deception,forgery
32,male,2,male;male,theft,grandLarceny
66,male,1,male,breakingPeace,wounding
not known,male,1,male,kill,manslaughter
not known,male,1,male,theft,theftFromPlace
not known,female,1,male,theft,pocketpicking
not known,male,1,male,theft,other
28,male,1,male,theft,simpleLarceny
42,male,1,female,theft,grandLarceny
48,male,1,female,breakingPeace,wounding
41,male,0,nan,theft,receiving
40,male,1,male,theft,simpleLarceny
not known,male,1,male,theft,grandLarceny
not known,male,1,male,theft,burglary
not known,female,1,female,theft,grandLarceny
21,male,1,male,theft,simpleLarceny
not known,male,1,male,theft,simpleLarceny
18,male,1,male,theft,pocketpicking
not known,male,1,male,theft,pocketpicking
29,male,1,male,theft,grandLarceny
not known,male,2,male;male,theft,grandLarceny
not known,male,1,female,violentTheft,robbery
18,male,2,male;male,theft,animalTheft
27,male,1,male,theft,grandLarceny
39,male,0,nan,royalOffences,coiningOffences
not known,male,1,male,theft,stealingFromMaster
66,male,1,male,theft,simpleLarceny
not known,male,1,male,theft,simpleLarceny
not known,male,1,male,deception,forgery
not known,male,1,female,violentTheft,highwayRobbery
not known,female,1,male,theft,pocketpicking
not known,male,1,female,theft,grandLarceny
not known,male,1,female,theft,simpleLarceny
18,female,1,male,theft,simpleLarceny
37,male,0,nan,deception,forgery
49,male,0,nan,deception,fraud
not known,male,1,male,theft,grandLarceny
not known,male,0,nan,theft,animalTheft
19,male,1,indeterminate,theft,mail
not known,male,1,male,theft,burglary
60,male,0,nan,deception,perjury
not known,female,1,male,theft,simpleLarceny
not known,male,1,male,theft,grandLarceny
not known,male,1,male,breakingPeace,libel
not known,male,1,indeterminate,theft,burglary
44,female,1,male,theft,simpleLarceny
not known,female,1,female,violentTheft,highwayRobbery
23,male,1,male,theft,stealingFromMaster
22,male,1,male,theft,simpleLarceny
not known,female,1,male,kill,murder
19,male,2,male;female,theft,theftFromPlace
54,male,0,nan,deception,perjury
19,female,1,female,kill,manslaughter
not known,male,1,male,theft,grandLarceny
not known,female,0,nan,royalOffences,coiningOffences
35,male,1,male,violentTheft,robbery
not known,male,1,male,theft,grandLarceny
not known,male,1,male,theft,receiving
not known,male,0,nan,miscellaneous,other
not known,male,1,male,theft,simpleLarceny
36,male,1,male,theft,stealingFromMaster
24,male,1,male,violentTheft,robbery
not known,female,1,male,theft,pocketpicking
not known,female,1,male,theft,grandLarceny
32,male,0,nan,royalOffences,coiningOffences
not known,female,1,male,theft,simpleLarceny
not known,male,1,male,kill,manslaughter
43,female,1,male,theft,grandLarceny
not known,male,1,male,theft,receiving
not known,male,2,male;female,theft,grandLarceny
not known,male,2,male;male,theft,burglary
37,male,1,female,breakingPeace,wounding
not known,female,1,male,theft,burglary
20,male,2,female;male,theft,pocketpicking
not known,female,1,male,theft,simpleLarceny
26,female,1,male,theft,grandLarceny
not known,female,1,male,theft,grandLarceny
40,male,1,male,theft,simpleLarceny
not known,male,0,nan,royalOffences,coiningOffences
31,male,1,female,breakingPeace,wounding
28,male,0,nan,royalOffences,coiningOffences
20,female,0,nan,royalOffences,coiningOffences
39,male,1,indeterminate,theft,theftFromPlace
not known,male,1,male,theft,animalTheft
not known,female,1,male,theft,other
not known,male,1,male,theft,grandLarceny
22,male,1,indeterminate,theft,theftFromPlace
not known,male,1,female,theft,theftFromPlace
not known,male,1,male,theft,burglary
27,male,1,indeterminate,theft,theftFromPlace
not known,female,1,male,theft,other
40,male,1,female,theft,grandLarceny
not known,male,1,male,theft,simpleLarceny
not known,male,0,nan,theft,embezzlement
14,male,1,male,theft,burglary
not known,male,1,male,theft,grandLarceny
not known,male,2,male;male,theft,grandLarceny
37,female,1,male,theft,grandLarceny
not known,male,1,male,theft,embezzlement
not known,male,2,female;male,theft,grandLarceny
not known,male,1,male,violentTheft,highwayRobbery
24,male,1,male,kill,murder
not known,male,1,male,theft,burglary
not known,female,1,male,theft,grandLarceny
31,male,1,female,kill,murder
not known,male,2,female;female,sexual,bigamy
26,female,1,male,theft,pocketpicking
not known,male,1,male,violentTheft,highwayRobbery
not known,male,0,nan,deception,forgery
not known,male,1,male,theft,grandLarceny
not known,male,0,nan,deception,perjury
33,male,1,female,theft,burglary
not known,male,1,indeterminate,theft,simpleLarceny
not known,male,1,male,theft,grandLarceny
32,female,1,male,theft,stealingFromMaster
not known,female,1,male,theft,grandLarceny
24,female,1,female,kill,murder
not known,female,1,male,theft,shoplifting
not known,male,1,male,theft,grandLarceny
not known,male,1,male,deception,fraud
not known,male,4,male;male;male;male,theft,grandLarceny
not known,female,1,female,theft,grandLarceny
not known,male,1,male,theft,burglary
not known,male,4,male;male;male;male,theft,grandLarceny
not known,male,1,female,breakingPeace,wounding
not known,female,1,male,theft,grandLarceny
not known,female,1,male,theft,pocketpicking
not known,female,1,male,theft,theftFromPlace
not known,male,1,male,breakingPeace,wounding
not known,male,2,male;male,royalOffences,coiningOffences
not known,male,1,male,theft,pocketpicking
52,male,1,male,theft,pocketpicking
23,female,1,female,theft,stealingFromMaster
not known,female,1,male,theft,grandLarceny
not known,female,2,male;male,theft,grandLarceny
28,male,1,female,sexual,rape
40,male,1,female,sexual,rape
not known,male,1,male,violentTheft,highwayRobbery
32,male,1,male,deception,fraud
not known,male,1,male,theft,theftFromPlace
not known,male,1,female,theft,shoplifting
36,female,1,male,theft,simpleLarceny
not known,male,1,male,theft,pettyLarceny
26,female,2,male;male,theft,grandLarceny
36,female,1,male,theft,simpleLarceny
not known,female,1,male,theft,grandLarceny
33,male,0,nan,deception,forgery
17,female,1,male,theft,theftFromPlace
40,female,1,male,theft,grandLarceny
not known,female,1,male,theft,grandLarceny
not known,male,0,nan,theft,grandLarceny
18,male,1,female,theft,pocketpicking
not known,male,1,male,theft,animalTheft
18,female,2,male;male,theft,theftFromPlace
not known,female,1,male,theft,grandLarceny
41,male,1,male,sexual,sodomy
not known,male,1,male,theft,grandLarceny
not known,male,1,male,theft,simpleLarceny
49,male,1,male,theft,pocketpicking
not known,male,1,female,theft,shoplifting
13,male,1,male,theft,grandLarceny
not known,female,0,nan,kill,infanticide
not known,male,1,male,theft,receiving
not known,male,0,nan,theft,embezzlement
not known,male,1,male,theft,stealingFromMaster
46,male,3,male;male;male,deception,fraud
13,male,1,male,theft,embezzlement
19,male,1,male,theft,theftFromPlace
not known,male,1,male,theft,pettyLarceny
39,male,1,male,theft,grandLarceny
18,male,1,male,theft,embezzlement
18,female,1,male,theft,theftFromPlace
not known,male,0,nan,theft,embezzlement
69,male,1,male,sexual,indecentAssault
not known,female,1,female,theft,other
30,male,0,nan,royalOffences,coiningOffences
not known,female,1,male,theft,pocketpicking
22,male,1,male,theft,grandLarceny
42,male,1,male,violentTheft,robbery
52,male,8,male;male;male;male;male;male;male;male,deception,fraud
26,male,0,nan,royalOffences,coiningOffences
not known,male,0,nan,sexual,bigamy
not known,male,1,male,theft,pocketpicking
22,male,2,male;male,theft,theftFromPlace
32,male,1,male,kill,murder
not known,female,1,male,theft,grandLarceny
36,male,1,male,theft,receiving
16,female,1,male,theft,stealingFromMaster
21,male,1,male,theft,embezzlement
not known,female,1,male,theft,grandLarceny
not known,male,1,female,theft,other
not known,male,1,male,theft,housebreaking
not known,male,1,male,theft,grandLarceny
21,male,0,nan,theft,embezzlement
not known,female,1,male,theft,grandLarceny
22,male,1,male,theft,theftFromPlace
18,male,1,male,theft,simpleLarceny
not known,male,1,male,theft,pettyLarceny
not known,female,1,male,theft,pocketpicking
not known,female,1,male,violentTheft,highwayRobbery
23,male,1,male,theft,stealingFromMaster
not known,male,1,male,theft,theftFromPlace
18,male,1,male,theft,pocketpicking
not known,female,0,nan,kill,infanticide
33,male,1,male,kill,manslaughter
33,female,1,male,breakingPeace,wounding
36,male,1,male,deception,fraud
30,male,1,male,theft,stealingFromMaster
not known,male,1,female,breakingPeace,assault
26,male,3,male;male;male,deception,fraud
not known,male,0,nan,theft,embezzlement
20,male,1,male,theft,pocketpicking
not known,male,1,male,theft,shoplifting
not known,male,1,male,theft,housebreaking
not known,female,1,male,theft,simpleLarceny
not known,male,1,male,theft,grandLarceny
20,male,1,male,theft,theftFromPlace
not known,male,2,male;male,kill,murder
not known,male,1,male,theft,simpleLarceny
not known,female,3,male;female;female,theft,housebreaking
not known,male,1,male,theft,grandLarceny
16,female,1,male,theft,grandLarceny
30,male,1,male,theft,grandLarceny
52,male,1,male,theft,animalTheft
not known,female,1,male,theft,pocketpicking
21,female,1,female,theft,theftFromPlace
20,male,1,male,theft,pocketpicking
75,male,1,female,sexual,assaultWithIntent
not known,male,1,male,theft,theftFromPlace
29,male,0,nan,royalOffences,coiningOffences
37,female,1,male,theft,grandLarceny
13,male,0,nan,royalOffences,coiningOffences
36,female,1,male,theft,stealingFromMaster
not known,male,1,male,violentTheft,highwayRobbery
37,male,1,female,sexual,assaultWithIntent
32,male,1,male,deception,fraud
not known,male,1,male,theft,simpleLarceny
not known,male,1,female,breakingPeace,wounding
not known,male,1,male,theft,grandLarceny
26,male,1,male,theft,theftFromPlace
30,male,1,male,theft,simpleLarceny
19,male,3,male;male;male,violentTheft,highwayRobbery
45,male,1,male,theft,simpleLarceny
not known,male,1,female,deception,forgery
not known,male,2,male;male,theft,grandLarceny
not known,male,1,female,violentTheft,highwayRobbery
21,male,1,male,violentTheft,robbery
30,male,0,nan,royalOffences,coiningOffences
not known,female,1,male,theft,simpleLarceny
not known,female,1,male,theft,theftFromPlace
18,male,1,male,theft,pocketpicking
not known,male,1,male,theft,shoplifting
17,male,1,male,theft,pocketpicking
25,male,1,female,theft,theftFromPlace
21,male,0,nan,theft,embezzlement
not known,male,1,male,theft,shoplifting
28,male,0,nan,sexual,sodomy
not known,female,1,male,theft,grandLarceny
not known,male,1,male,theft,grandLarceny
not known,female,1,female,theft,grandLarceny
17,male,1,male,theft,pocketpicking
not known,male,1,male,theft,grandLarceny
not known,male,1,male,theft,grandLarceny
17,male,1,male,theft,simpleLarceny
not known,male,1,male,theft,pocketpicking
not known,female,2,male;male,theft,grandLarceny
not known,female,1,male,breakingPeace,wounding
not known,female,1,female,theft,grandLarceny
not known,male,1,male,violentTheft,highwayRobbery
not known,male,0,nan,deception,perjury
not known,female,1,male,theft,simpleLarceny
not known,female,1,male,theft,burglary
not known,male,1,male,theft,stealingFromMaster
37,female,4,male;male;male;male,theft,grandLarceny
not known,male,1,male,theft,grandLarceny
22,male,1,male,theft,simpleLarceny
22,male,1,male,theft,stealingFromMaster
not known,male,0,nan,deception,perjury
not known,female,1,male,theft,grandLarceny
not known,male,1,male,theft,grandLarceny
20,male,1,male,theft,simpleLarceny
not known,male,1,male,theft,animalTheft
25,male,1,male,theft,theftFromPlace
not known,female,1,female,theft,grandLarceny
44,male,0,nan,royalOffences,coiningOffences
not known,male,1,male,theft,receiving
29,male,1,indeterminate,theft,mail
not known,male,0,nan,theft,grandLarceny
not known,male,1,male,theft,theftFromPlace
not known,male,1,indeterminate,theft,simpleLarceny
18,male,1,male,breakingPeace,wounding
not known,male,1,male,sexual,assaultWithSodomiticalIntent
45,male,1,indeterminate,theft,mail
not known,female,1,female,theft,burglary
17,male,2,male;female,theft,pocketpicking
not known,male,1,male,theft,shoplifting
37,male,1,male,theft,embezzlement
not known,female,1,male,theft,grandLarceny
not known,male,1,male,theft,burglary
15,male,1,male,theft,grandLarceny
20,male,0,nan,theft,embezzlement
19,male,0,nan,deception,forgery
18,male,0,nan,royalOffences,coiningOffences
17,male,2,male;male,theft,simpleLarceny
42,male,0,nan,deception,fraud
not known,female,2,male;male,theft,pocketpicking
not known,male,1,male,theft,animalTheft
not known,female,1,male,theft,grandLarceny
25,male,1,indeterminate,theft,mail
not known,male,1,male,theft,simpleLarceny
not known,male,1,male,theft,mail
25,male,1,female,kill,manslaughter
not known,male,0,nan,miscellaneous,pervertingJustice
