Hugh Salimbeni
Jonas Kohler
Lijun Zhang
Jeremy Nixon
Gerhard Neumann
Tong Wang
Vijay Keswani
Mirco Mutti
Mojmir Mutny
Amir Globerson
Mingming Gong
Daniel Jiang
Guillaume Lecue
Akhilan Boopathy
Hiroyuki Sato
Kevin Swersky
James Bailey
Nino Antulov-Fantulin
Samuel Wiqvist
Sergey Levine
Rachel Ward
Nikhil Mishra
Tomas Lozano-Perez
Kambis Veschgini
Cédric Colas
Judith Rousseau
Gopinath Chennupati
Kevin Smith
Kaushik Sinha
Dzung Phan
Devansh Arpit
Igor Babuschkin
Arash Mehrjou
Ceyda Oğuz
Zhenyu Liao
Ricardo Baptista
Stefan Wermter
Anay Mehrotra
Sudipto Guha
Miika Aittala
Kenji Doya
Kevin Winner
Sabine Storandt
Bryant Chen
Vlad Niculae
Thomas Schön
Weiyao Wang
Hanwen Xing
Ananda Theertha Suresh
Sergey Ivanov
Siwei Wang
Martin Engelcke
Karol Gregor
Vignesh Ganapathiraman
Mohammad Mahmoody
Tommaso Furlanello
Huanyu Zhang
Konrad Żołna
Christopher Olah
Vasilis Syrgkanis
Othmane Mazhar
Nathaniel Swinger
Petr Golovach
Ying Sheng
Vedant Nanda
Xingchao Peng
Yichen Chen
Diego Klabjan
Ziliang Chen
Xueru Zhang
Alex Beatson
Ashish Agarwal
Yuchen Zhang
Arturs Backurs
Carlos Cinelli
Christos Kozyrakis
Halley Young
Feng Chen
Xinhua Zhang
Taco Cohen
Martin Schiegg
Matei Zaharia
Chin-Wei Huang
Raul Astudillo
Jakub Tomczak
George Deligiannidis
Chicheng Zhang
Swarat Chaudhuri
Jérôme Malick
Michael Volpp
Dino Sejdinovic
Alexey Drutsa
Jelena Luketina
Yuling Jiao
Geoff Nicholls
Oktay Gunluk
Walter Karlen
Cheng Zhao
Philippe Hamel
Jordan Dotzel
Dylan Hadfield-Menell
Akihiro Matsukawa
Robert Mansel Gower
Oren Elisha
Enhong Chen
Junyu Zhang
Didrik Nielsen
Junpei Komiyama
James Rehg
Marta Garnelo
Yury Maximov
Masanori Koyama
Wray Buntine
Armando Solar-Lezama
Pierfrancesco Urbani
Heinrich Jiang
Volkan Cevher
Yori Zwols
Wittawat Jitkrittum
Thomas Mittelholzer
Mohammadhossein Bateni
MANSOOR YOUSEFI
Ronan Collobert
Jonathan Huggins
Luigi Antelmi
Nathanaël Perraudin
Venkatesh Babu Radhakrishnan
Cordelia Schmid
Shubho Sengupta
Jeremias Knoblauch
Alexander Finkelstein
Kamesh Munagala
Gleb Gusev
David Hershkowitz
Jakob Macke
Kaizhi Qian
Nicolas Ford
Steven James
Kenneth Stanley
Aravind Srinivas
Chris Ying
Ruosong Wang
Gerome Miklau
Chinmay Hegde
Paroma Varma
Paris Siminelakis
Nikola Konstantinov
Lechao Xiao
David Inouye
Lukas Balles
Larry Zitnick
William Hamilton
Philip Long
Chenyang Zhang
Lorenzo Lupo
Vaishakh Ravindrakumar
Joshua Dillon
Krishna Gummadi
Xiaobin Wang
Szymon Majewski
Wojciech Matusik
Maryam Aliakbarpour
Lukas Ruff
Itay Safran
Vikas Sindhwani
Thomas Brox
Ryan Turner
Dean Foster
Yuval Kluger
Chaoyu Guan
Daisy Stanton
Kevin Mcguinness
James Lucas
Bryan Kian Hsiang Low
Eric Wallace
Meirav Galun
Samira Samadi
Aviv Rosenberg
Chuan Chen
Stephane Robin
Rotem Mulayoff
Weinan Zhang
Natalia Martinez
Shani Gamrian
Paul Vicol
Nicolas Courty
Luis Cobo
Edwin Fong
Georgios Piliouras
Aleksander Madry
Ching-An Cheng
Mahsa Taziki
Kenji Fukumizu
Xinyi Chen
Dhiraj Gandhi
Dmitry Storcheus
Scott Fujimoto
Wulfram Gerstner
Brandon Reagan
Jongyoon Song
Julien Chiquet
Ravi Garg
Alexander Smola
Vladislav Polianskii
Adam Kosiorek
Toryn Klassen
Huan Zhang
Andy Massimino
Francis Song
Peng Zhanglin
Kush Bhatia
Sébastien Gambs
Zelda Mariet
Kazushi Ikeda
Mehdi Fatemi
Piotr Majdak
Rachid Guerraoui
Martha White
Matthew Botvinick
Aidasadat Mousavifar
Andrés Marafioti
Aaron Roth
Pedro Felzenszwalb
Maria Bauza Villalonga
Jan-Hendrik Lange
Mislav Balunovic
Pavel Dvurechensky
Behnam Neyshabur
Devin Willmott
Tameem Adel
Beilun Wang
Hariank Muthakana
George Konidaris
Aditya Chattopadhyay
Thomas Gärtner
Arnu Pretorius
Kyriacos Shiarlis
Sebastian Tschiatschek
Gavin Taylor
Sotirios Chatzis
Kenta Oono
Thomas Miconi
Kareem Amin
Ryan Spring
Zhisheng Zhong
Balasubramaniam Srinivasan
Dimitris Samaras
Zhengbing Bian
Thomas Moreau
Andrea Gesmundo
Omer Reingold
Yuxin Chen
Alexander Alemi
Gary Sivek
Arthur Szlam
Saeed Sharifi -Malvajerdi
Aravind Rajeswaran
Oleg Klimov
Arash Vahdat
Harikrishna Narasimhan
Russell Tsuchida
Alexandre Garcia
Oriol Vinyals
Shaofeng H.-C. Jiang
Maryam Fazel
Shivaram Kalyanakrishnan
Alistair Stewart
Devendra Singh Chaplot
Zach Dwiel
Darina Dvinskikh
Alex Graves
Jakub Tarnawski
Zhishuai Zhang
Marco Lorenzi
Adriana Romero
Alex Renda
Shengyu Zhang
Dheevatsa Mudigere
Edward Grefenstette
Alexander Mathiasen
Lukasz Kaiser
James Sharpnack
Felipe Mello Pereira
Arild Nøkland
Shaogang Gong
Werner Brannath
Kieran Campbell
Diederik Roijers
Samira Ebrahimi Kahou
Mohsen Ghaffari
Guido Montufar
Tomer Michaeli
Xiaohua Zhai
Cheng Soon Ong
Mark Hasegawa-Johnson
Bobby Kleinberg
Arian Maleki
Manish Raghavan
Jalal Etesami
Justin Chiu
Ruhi Sarikaya
James Muller
Eneldo Loza Mencia
Matthew Streeter
Wesley Tansey
Peilin Zhao
Augustin Zidek
Jeremy Bernstein
Adish Singla
Mattia Rigotti
Shimon Whiteson
Karan Desai
Deva Ramanan
Jihun Hamm
Hongyi Wang
Claudio Michaelis
Cho-Jui Hsieh
Brian Williamson
Yassine Benyahia
Saber Salehkaleybar
Alexandre Gramfort
Ningshan Zhang
Alain Rakotomamonjy
Praneeth Narayanamurthy
Zhenyu Huang
Tarek Nassar
Hadi Ghauch
Hiroshi Kajino
Taegyun Kwon
Shinsaku Sakaue
David Rolnick
Peter Vrancx
Alexander Immer
Karthik Subbian
Shibani Santurkar
Brandon Tran
Jinyang Yuan
Samuel Smith
Kunal Talwar
Alex Kulesza
Felix Draxler
Dasaem Jeong
Jaakko Lehtinen
Grant Ayers
Thomas Unterthiner
Clement Canonne
Jeff Clune
Percy Liang
Asier Mujika
Alexander Gasnikov
Matthew Johnson
Hongge Chen
Mark Grobman
Nghia Hoang
Daniel Mankowitz
Alessandro Davide Ialongo
Omer Gottesman
Andreas Doerr
Vitaly Feldman
Nisheeth Vishnoi
Jiaming Song
Martin Wainwright
Michael Chertkov
Andrew Miller
Kevin Roth
Philip Becker-Ehmck
Neil Rabinowitz
Daniel Cremers
Wojciech Jaśkowski
Anirudh Vemula
Stéphan Clémençon
Chelsey Hoff
Takayuki Okatani
Olivier Fercoq
Petros Drineas
Stuart Russell
Gaurav Kumar Nayak
David Saxton
Alex Aiken
Yannick Schroecker
Sharan Vaswani
Adam Golinski
Tatsunori Hashimoto
Manzil Zaheer
Xiaodan Liang
Benjamin Eysenbach
Patsorn Sangkloy
Nicolas Ballas
Daniel Alexander
Amin Nayebi
Eric Battenberg
Keegan Lensink
Kevin Murphy
Michael Schober
Jonathan Hunt
Michael Littman
Frederic Sala
Sharad Vikram
Lingxiao Huang
Nevena Lazic
Mahendra Mariadassou
Jessica Hoffmann
Ondrej Bajgar
Loic Landrieu
Madhav Marathe
Piotr Bojanowski
Dheeraj Nagaraj
Siddhant Jayakumar
Hongbao Zhang
David Kirkby
David Barrett
Adithya Vadapalli
Sreenivas Gollapudi
Sepideh Mahabadi
Martin Braun
Alessandro Lazaric
Guillermo Sapiro
Sattar Vakili
Michael Mahoney
Måns Magnusson
Kaiqing Zhang
Nikhil Mehta
Enlu Zhou
Polina Kirichenko
Chun-Hao Chang
Peyman Mohajerin Esfahani
Ioannis Antonoglou
Harish Bhat
Patrick Jaillet
Namrata Vaswani
Georg Gerber
Robert Dadashi
Tsendsuren Munkhdalai
Martin Bertran
Benjamin Rubinstein
Paidamoyo Chapfuwa
Raghu Bollapragada
Panos Achlioptas
Victor Bapst
Samory Kpotufe
Chapel Laetitia
Dave Helmbold
Ryusuke Takahama
Eric Xing
Théophile Gervet
Mahsa Ghasemi
Weiran Shen
Jaime Fisac
Andrew Warrington
Sabyasachi Chatterjee
Marius Kloft
Chris Harshaw
Andrei Kulunchakov
Andrew Gordon Wilson
Pascale Kuntz
Hamid Javadi
Kexin Rong
Charlotte Bunne
Robert Peharz
Dr.Saman Amarasinghe
Ivana Malenica
Giacomo Indiveri
Mikhail Yurochkin
Rama Chellappa
Paolo Diachille
Zengfeng Huang
Dmitriy Drusvyatskiy
Philip Bachman
Mohammad Norouzi
Jinsung Yoon
Chelsea Finn
Kirill Sidorov
Josh Susskind
Yash Goyal
Saleh Nabi
Marcus Gallagher
Andrew Phillips
Shizhong Liao
Ryan Mckenna
Rishabh Singh
Jorge Nocedal
Tammo Rukat
Mike Rabbat
Aviral Kumar
Guillaume Pouliot
Marco Carone
Mehran Mesbahi
Vincent Chen
Jingwei Zhuo
Milan Cvitkovic
Kouhei Nishida
Kenneth Lange
Flavio Calmon
Rory Sayres
Noam Shazeer
Jakob Foerster
David Page
Neill Campbell
Sreejith Kallummil
Borja Balle
Indika Rajapakse
Finale Doshi-Velez
Weidong Huang
Courtney Page
Dale Schuurmans
Theophane Weber
Marc’Aurelio Ranzato
Larry Wasserman
Luca Franceschi
Sheila McIlraith
Andrew Cotter
Nicholas Frosst
Thiago Serra
Saverio Salzo
Prashant Mehta
Peter Stone
Dmitrii Ostrovskii
Brian Bullins
Zhuoyuan Chen
Zachary Charles
Jian Zhang
Thomas Dullien
Weizhong Zhang
Barnabas Poczos
Joshua Batson
Kenneth Clarkson
Paul Mineiro
Clark Glymour
Greg Wayne
Liqun Chen
Slobodan Mitrovic
Ryan-Rhys Griffiths
Vincent Dutordoir
Zhuoran Yang
Kostas Daniilidis
Sendhil Mullainathan
Orestis Plevrakis
Wenyu Chen
Haggai Maron
Martin Jaggi
David Lopez-Paz
Tahrima Rahman
Chris Dyer
Michael Oberst
Surbhi Goel
James Jordon
Juan Correa
Negar Kiyavash
Mingda Qiao
Vinicius Zambaldi
Gregory Farquhar
Mehmet Gönen
Takanori Maehara
Christian Szegedy
Charlie Frogner
Erez Louidor
Charu Sharma
Edward Chien
Ioannis Panageas
Ricardo Cerri
Charles Sutton
Berkay Kicanaoglu
Herman Kamper
Vikas Verma
Mark Rowland
Dawen Liang
Geoffrey Roeder
Sander Dieleman
Xingyu Wang
Mitchell Stern
Patrick Schwab
Richard Santiago
Jane Hung
Takuro Fukunaga
Kamen Brestnichki
Afroditi Papadaki
Marcel Nonnenmacher
Christopher Beckham
Razieh Nabi
David Sontag
Matthew Staib
Tudor Dumitras
Xingyu Chen
Nidham Gazagnadou
Sejun Park
Daniel Zoran
Martin Jankowiak
Kaizheng Wang
Grégoire Mialon
Matthew Eichhorn
Rodrigo Barros
Hongpeng Zhou
Jiefeng Chen
Ritchie Zhao
Juho Rousu
Ravi Kumar
Gustavo Carneiro
Alexander Rivkind
Stephan Zheng
Daniel Simpson
David Bamman
Shin-ichi Maeda
Kristy Choi
Matej Balog
Suprovat Ghoshal
Surya Bhupatiraju
Ferran Alet
Ryutaro Tanno
Vaishaal Shankar
Xiaoxi Wang
Uyeong Jang
Samuel Ritter
Chien-Feng Liao
Omri Barak
Tamann Narayan
Yitao Liang
Aleksandra Slavković
Poorya Mianjy
Carles Gelada
Zhou Zhao
Vishnu Natchu
Umberto Picchini
Joern-Henrik Jacobsen
Hanting Chen
Giulio Biroli
Edwin Bonilla
Michael Kearns
Matthew Fellows
Nevan wichers
Wouter Kool
Arthur Mensch
Ulrich Aivodji
Yochai Blau
Eldad Haber
Florian Wenzel
Abhijin Adiga
Amir Dezfouli
Carlos Florensa
Edward Lockhart
Ming Zhou
Daniel Kumor
Marco Cuturi
Ryan Webster
Kaspar Märtens
Toan Tran
Matthieu Geist
Matthias Poloczek
Claire Cardie
Alon Orlitsky
Abhradeep Thakurta
Adam Klivans
David Grangier
Kean Ming Tan
Christian Kroer
Marc Niethammer
Pierre Gaillard
Chris Junchi Li
James Brecht
Moses Charikar
Aaron Courville
Nick Watters
Maria-Florina Balcan
Matt Kusner
Armand Joulin
Martin Takac
Angeliki Lazaridou
Kelly Zhang
Matthew Reimherr
Gautam Dasarathy
Deepak Pathak
Jinghui Chen
Mateo Rojas-Carulla
Emmanuel Müller
Hieu Pham
Siyuan Qiao
Leon Bottou
Pieter-Jan Kindermans
Alexey Kroshnin
Georg Ostrovski
Sarah Erfani
Julyan Arbel
Yunus Saatchi
Sinan Wang
Sanjay Purushotham
Mohan Kankanhalli
Xiaoyu Wang
Alex Peysakhovich
Trefor Evans
Jaan Altosaar
Kamil Bennani Smires
Anil Vullikanti
Samuel Greydanus
Dave Zachariah
Subham Sahoo
Hiroyuki Kasai
Aurick Zhou
Matthew Holland
Onur Dereli
Angelos Katharopoulos
Federico Errica
Jean-Philippe Vert
Baruch Schieber
Pablo Barros
Zaiyi Chen
Alon Resler
Conor Durkan
Heng Huang
Woon Kyoung Sung
Anca Dragan
Akiko Takeda
Yogesh Balaji
Javier Gonzalez
Arjun Nitin Bhagoji
Kamalika Chaudhuri
Mehrtash Harandi
Stanislaw Jastrzebski
Emilio Parisotto
Simon Lyddon
Yaron Lipman
Piyush Grover
Allan Jabri
Andrew Golightly
Michael Neunert
Angela Zhou
Abhinav Anand
Jiashi Feng
Eric Frank
Pavle Djordjevic
Takafumi Kajihara
Vlad Firoiu
Alexander Rakhlin
Aran Khanna
Soumya Ghosh
Marc-Etienne Brunet
Ashish Vaswani
Gary Becigneul
Brian Trippe
Charless Fowlkes
Stefan Szeider
Tianyi Zhang
Sunita Sarawagi
Patrick Bordes
Raphael Meyer
Frank Schmidt
Ulrike Luxburg
Paula Gordaliza
Kfir Yehuda Levy
Karl Cobbe
Chen Tessler
Xiaojie Wang
Aleksandr Aravkin
Haiying Huang
Jiadong Liang
Alessio Micheli
Jaewoo Kang
Benjamin Goldstein
Gautier Marti
Anna Goldenberg
Nicki Holighaus
Danilo Macciò
Hanlin Tang
Zijun Huang
Eugene Belilovsky
Vincent Conitzer
Volker Tresp
Yu-Xiang Wang
Raquel Urtasun
Sebastian Claici
Dimitrios Stamos
Philipp Becker
Danilo Rezende
Julien Schroeter
Alina Oprea
Yiheng Huang
Xinshi Chen
James Hays
Scott Alfeld
Anton Sinitsin
Demis Hassabis
Aarti Singh
Alex Lascarides
Goran Radanovic
Raul Rabadan
Youhei Akimoto
Constantine Caramanis
Amol Kapoor
Robert Nowak
Julien Hendrickx
John Langford
Nikolaos Pappas
Jinglin Chen
Fabio Pardo
Artur Dubrawski
Bowen Zhou
Alain Durmus
Rashish Tandon
Wolfram Wiesemann
Ruben Villegas
Dilan Gorur
Martin Renqiang Min
Jianfeng Feng
Balazs Szorenyi
Chen Liang
Harrison Edwards
Lars Hiller Eidnes
Sahil Singla
Antoine Labatie
Dipendra Misra
Laurent Charlin
Daniel Kepple
Luisa Zintgraf
Jonathan Binas
Emanuele Ghelfi
Noel O’Connor
Branislav Kveton
Aurelien Lucchi
Cyril Zhang
Cristian Rojas
Xiaoshuang Chen
Abubakar Abid
Aram Galstyan
Irina Rish
Djallel Bouneffouf
Nicole Hiller
Anirudh Goyal
Gregory Valiant
Valentin Khrulkov
Simon Kassing
Smita Krishnaswamy
Mehmet Fatih Sahin
Douwe Kiela
Stefano Spigler
Ricardo Henao
Mehdi Mirza
Yedid Hoshen
Christopher Fifty
Dana Drachsler-Cohen
Shunkang Zhang
Fahad Panolan
Cédric Févotte
Jonathon Byrd
Thinh Doan
Daniel Park
Zhaobin Kuang
Nasim Rahaman
Marco Ancona
David Leslie
Laurent Lessard
Zachary Lipton
Andrew Ilyas
Zhenxun Zhuang
James Pinkerton
Stefanie Jegelka
Nicholas Ayache
Yixin Wang
Joan Bruna
Hado Hasselt
Lars Mescheder
Jan-Peter Calliess
Yinlam Chow
Prateek Mittal
Animesh Koratana
Zhang Ruimao
Nishant Yadav
Alibek Sailanbayev
Jaesik Choi
Chun-An Chan
Siddharth Barman
Himanshu Sahni
Nazanin Alipourfard
Liang Chen
Thomas Laurent
Mario Geiger
Thang Doan
Jose Blanchet
Alex Irpan
Ahmed Douik
Gael Richard
Jonathan Ullman
Nicholas Carlini
Peter Bailis
Dimitris Tsipras
Manolis Tsakiris
Caglar Gulcehre
John Quan
Aldo Pacchiano
Yuan Jiang
Justin Solomon
Hesham Mostafa
Claudio Gentile
Steve Renals
James Wexler
Niels Ipsen
Cesar Uribe
Neil Dalchau
Shao Wenqi
Yonatan Geifman
Neil Burch
Edgar Minasyan
George Chen
Nancy Baym
Justin Romberg
Laurent Orseau
Trimpe Sebastian
Sanjay Shakkottai
Shiyu Chang
Duane Boning
Dami Choi
Shiva Kasiviswanathan
Geoffrey Gordon
Axel Abels
Ankit Patel
Vineet Gupta
Dimitris Papailiopoulos
Avishek Bose
Mohammad Emtiyaz Khan
Dino Oglic
Simone Rossi
Rebecca Roelofs
Chris Holmes
James Henderson
Chris Oates
Yizhe Zhang
Gabriele Farina
Minh Hoang
James Martens
Keith Levin
Shashank Rajput
Zhiru Zhang
Piyushi Manupriya
Ramchandran Kannan
Aurick Qiao
Tianyuan Zhang
Pierre Laforgue
Matthieu Wyart
Daizong Ding
Elliot Creager
Nicolas Flammarion
Alexander Greaves-Tunnell
Samy Jelassi
Pedro Ortega
Michael Tschannen
Kamil Ciosek
Aliaksei Severyn
Adnan Darwiche
Ryan Murphy
Evan Shelhamer
Michal Kempka
Paul Rolland
Zhangyang Wang
John Lafferty
Sergios Theodoridis
Thomas Möllenhoff
Zornitsa Kozareva
Doron Haviv
Zuofeng Shang
Steffen Rendle
Giulia Denevi
Mark McLeod
Damian Straszak
Tijana Zrnic
Yichi Zhou
Vayer Titouan
Richard Zemel
David Balduzzi
Paul Duetting
Lucas Lehnert
Stephen Chestnut
Gregory Naitzat
Zhizhen Zhao
Pedro Soto
Richard Zhang
Martin Zhang
Eliav Buchnik
Jiantao Jiao
Linyuan Gong
Michael Veale
Hiromi Arai
Markus Wulfmeier
Chris Cremer
Karen Simonyan
Jian Peng
Elias Bareinboim
Christopher Burgess
Tian Tian
Prabhat Nagarajan
Oleksandr Shchur
Mihaela Schaar
Shuaiwen Wang
Slobodan Mitrović
Manuel Fernandez
Siyuan Feng
Graham Cormode
Rebecca Willett
Jianshu Chen
Zachary Ziegler
Roland Kwitt
Panayotis Mertikopoulos
Debmalya Panigrahi
Jiong Zhang
Steve Huntsman
Marcin Michalski
Luca Daniel
Satyen Kale
Chao Zhang
Akifumi Okuno
Mohammad Mahdi Kamani
Yigitcan Kaya
David Brooks
Nicholas Sidiropoulos
Hongseok Yang
Joelle Pineau
Taisuke Yasuda
Yizhen Wang
Zuowei Shen
Matteo Pirotta
Yuxuan Song
Tzahi Shimkin
Sasha Salter
Shouvanik Chakrabarti
Peilin Zhong
Rene Vidal
Tabish Rashid
Nicolas Vayatis
Vijai Mohan
Ramakrishna Vedantam
Mete Ozay
Alexandre Sablayrolles
Maurice Weiler
Brendan O’Donoghue
Mohamed Ishmael Belghazi
Dhruv Batra
Yizhen Zhang
Alessandro Barp
Yann LeCun
Ioannis Mitliagkas
Avinatan Hasidim
Ying Xiao
Alessandro Rinaldo
Neeraj Pradhan
Shikhar Sharma
Jian Tang
Suman Ravuri
Wenbing Huang
Robert Ganian
Minghao Yang
Zoubin Ghahramani
Siddharth Srivastava
Noah Goodman
Sanjeeb Dash
Pavan Turaga
Uiwon Hwang
Pavel Serdyukov
Sanja Fidler
Nataly Brukhim
Riccardo Grazzi
Edward Hughes
Carl-Johann Simon-Gabriel
Katy Blumer
Kubilay Atasu
Noam Brown
Michael Franklin
Yuzhe Yang
Yatao Bian
Daniel Malinsky
Denis Steckelmacher
Yves Grandvalet
Joel Burdick
Bingjing Zhang
Zibin Zheng
Morgane Riviere
Tianyu Pang
Charlie Nash
Aurelien Bibaut
Krishnan Mody
Pierre Vandergheynst
Michael Jordan
Osbert Bastani
Yash Chandak
Ehsan Elhamifar
Anna Choromanska
Michele Santacatterina
Gabriel Peyré
Gamboa Fabrice
Alexandra Schofield
Zhitang Chen
Logan Engstrom
Brighten Godfrey
Zhiwei Steven Wu
Breandan Considine
Giambattista Parascandolo
Koulik Khamaru
Eloi Zablocki
Deepak Nathani
Sheng Zhang
Jonathan Uesato
Iain Murray
Michael Mozer
Miguel Rodrigues
Konstantina Palla
Bertrand Thirion
Emma Brunskill
Maithra Raghu
Katya Scheinberg
Sikun Yang
Devon Hjelm
Inderjit Dhillon
Yang Yuan
Claudiu Musat
Matteo Papini
Colin Raffel
Yoshua Bengio
Francisco Ruiz
Thomas Nedelec
Zeyuan Allen-Zhu
Andrew Lawrence
Geoff Pleiss
Yasuhiro Fujita
Evgeny Burnaev
Egor Shulgin
Paolo Frasconi
Tero Karras
John Wright
Andre Martins
Roger Grosse
Sucheng Xiao
Wenlin Wang
Guilherme Franca
Thomas Frerix
Ludwig Schmidt
Chunhua Shen
Mantas Mazeika
Facundo Memoli
Nina Mishra
Ross Kleiman
Kate Saenko
Bruna Morrone
Abhinav Verma
Jean-Michel Loubes
Kaiyu Yang
Soufiane Hayou
Michael Muehlebach
Dexiong Chen
Robert Vandermeulen
Günther Koliander
Zoltan Szabo
Santiago Miret
Anshumali Shrivastava
David Duvenaud
Aviv Tamar
Tuomas Haarnoja
Sinong Wang
Lenka Zdeborova
Mingsheng Long
Jacob Gardner
Lawrence Carin Duke
Aurélien Bellet
Yale Song
Guillaume Obozinski
Youngchul Sung
Somdeb Majumdar
Peter Henderson
Pierre-Yves Oudeyer
Toniann Pitassi
Yuqian Zhang
Catherine Olsson
Marvin Ritter
Pablo Mesejo
Kush Varshney
Padhraic Smyth
Jinshan Zeng
Cagatay Yildiz
Alexander Pritzel
Florent Krzakala
Benjamin Recht
Igor Melnyk
Florent Bouchard
Ruiyi Zhang
Jason Yosinski
Supriyo Chakraborty
Moran Feldman
Hrishikesh Khandeparkar
Xiao Zhang
Tamer Basar
Amartya Sanyal
Daniel Lejeune
Jiacheng Yang
Qixing Huang
Charles Isbell
John Peebles
Zane Smith
Fabian Fuchs
Atsushi Nitanda
Lucas Deecke
Stefan Schaal
Yunhe Wang
Craig Innes
Rodrigo Toro Icarte
Diego Granziol
Nathan Ratliff
Olivier Buffet
Hannes Nickisch
Mayur Naik
Manfred Salmhofer
Anirban Sarkar
Jukka Intosalmi
Ameet Talwalkar
Mark Squillante
Matthew Hirn
Duhyeon Bang
Antoine Liutkus
Ayush Jain
Nichita Diaconu
Andrea Tirinzoni
Dina Katabi
Shivani Agarwal
Jonathan Schwarz
Edith Cohen
Loic Matthey
Ximei Wang
Matthias Bethge
Thomas Lampe
Adam Lerer
Ofir Nachum
Marek Petrik
Ruo-Chun Tzeng
