Hugh Salimbeni
Vasilis Syrgkanis
Othmane Mazhar
Nathaniel Swinger
Petr Golovach
Ying Sheng
Vedant Nanda
Xingchao Peng
Yichen Chen
Diego Klabjan
Ziliang Chen
Xueru Zhang
Alex Beatson
Ashish Agarwal
Yuchen Zhang
Arturs Backurs
Carlos Cinelli
Christos Kozyrakis
Halley Young
Feng Chen
Taco Cohen
Martin Schiegg
Chin-Wei Huang
George Deligiannidis
Chicheng Zhang
Michael Volpp
Dino Sejdinovic
Alexey Drutsa
Jelena Luketina
Yuling Jiao
Geoff Nicholls
Oktay Gunluk
Walter Karlen
Cheng Zhao
Philippe Hamel
Jordan Dotzel
Dylan Hadfield-Menell
Akihiro Matsukawa
Oren Elisha
Enhong Chen
Junyu Zhang
Didrik Nielsen
Junpei Komiyama
James Rehg
Yury Maximov
Wray Buntine
Armando Solar-Lezama
Pierfrancesco Urbani
Heinrich Jiang
Volkan Cevher
Yori Zwols
Wittawat Jitkrittum
Thomas Mittelholzer
Mohammadhossein Bateni
MANSOOR YOUSEFI
Jonathan Huggins
Nathanaël Perraudin
Venkatesh Babu Radhakrishnan
Cordelia Schmid
Shubho Sengupta
Jeremias Knoblauch
Alexander Finkelstein
Kamesh Munagala
Gleb Gusev
David Hershkowitz
Jakob Macke
Nicolas Ford
Steven James
Kenneth Stanley
Aravind Srinivas
Chris Ying
Ruosong Wang
Gerome Miklau
Paroma Varma
Paris Siminelakis
Nikola Konstantinov
Lechao Xiao
David Inouye
William Hamilton
Chenyang Zhang
Lorenzo Lupo
Vaishakh Ravindrakumar
Joshua Dillon
Krishna Gummadi
Xiaobin Wang
Szymon Majewski
Wojciech Matusik
Maryam Aliakbarpour
Lukas Ruff
Itay Safran
Vikas Sindhwani
Ryan Turner
Dean Foster
Chaoyu Guan
Kevin Mcguinness
James Lucas
Bryan Kian Hsiang Low
Eric Wallace
Samira Samadi
Stephane Robin
Rotem Mulayoff
Weinan Zhang
Paul Vicol
Nicolas Courty
Luis Cobo
Edwin Fong
Georgios Piliouras
Ching-An Cheng
Mahsa Taziki
Kenji Fukumizu
Xinyi Chen
Dhiraj Gandhi
Scott Fujimoto
Wulfram Gerstner
Brandon Reagan
Jongyoon Song
Julien Chiquet
Alexander Smola
Vladislav Polianskii
Adam Kosiorek
Toryn Klassen
Huan Zhang
Andy Massimino
Francis Song
Peng Zhanglin
Kush Bhatia
Sébastien Gambs
Zelda Mariet
Mehdi Fatemi
Rachid Guerraoui
Martha White
Matthew Botvinick
Andrés Marafioti
Aaron Roth
Pedro Felzenszwalb
Mislav Balunovic
Pavel Dvurechensky
Behnam Neyshabur
Tameem Adel
Beilun Wang
Hariank Muthakana
George Konidaris
Aditya Chattopadhyay
Thomas Gärtner
Arnu Pretorius
Gavin Taylor
Kenta Oono
Thomas Miconi
Kareem Amin
Ryan Spring
Zhisheng Zhong
Balasubramaniam Srinivasan
Dimitris Samaras
Zhengbing Bian
Thomas Moreau
Omer Reingold
Yuxin Chen
Gary Sivek
Arthur Szlam
Aravind Rajeswaran
Oleg Klimov
Arash Vahdat
Harikrishna Narasimhan
Russell Tsuchida
Alexandre Garcia
Oriol Vinyals
Shivaram Kalyanakrishnan
Alistair Stewart
Devendra Singh Chaplot
Zach Dwiel
Darina Dvinskikh
Alex Graves
Jakub Tarnawski
Zhishuai Zhang
Marco Lorenzi
Adriana Romero
Alex Renda
Shengyu Zhang
Dheevatsa Mudigere
Edward Grefenstette
Alexander Mathiasen
Lukasz Kaiser
James Sharpnack
Felipe Mello Pereira
Arild Nøkland
Shaogang Gong
Werner Brannath
Kieran Campbell
Samira Ebrahimi Kahou
Mohsen Ghaffari
Guido Montufar
Tomer Michaeli
Xiaohua Zhai
Cheng Soon Ong
Arian Maleki
Manish Raghavan
Justin Chiu
Ruhi Sarikaya
James Muller
Matthew Streeter
Wesley Tansey
Peilin Zhao
Augustin Zidek
Jeremy Bernstein
Adish Singla
Mattia Rigotti
Deva Ramanan
Jihun Hamm
Claudio Michaelis
Cho-Jui Hsieh
Brian Williamson
Yassine Benyahia
